time,ts,count,type
2012-11-03 00:14:00,1351901640,0.14096465243,gammaFit
2012-11-03 00:19:00,1351901940,0.106613597837,gammaFit
2012-11-03 00:24:00,1351902240,0.0805805394207,gammaFit
2012-11-03 00:29:00,1351902540,0.0608668777663,gammaFit
2012-11-03 00:34:00,1351902840,0.0459495835933,gammaFit
2012-11-03 00:39:00,1351903140,0.0346694365078,gammaFit
2012-11-03 00:44:00,1351903440,0.0261450983658,gammaFit
2012-11-03 00:49:00,1351903740,0.0197071836802,gammaFit
2012-11-03 00:54:00,1351904040,0.0148477655694,gammaFit
2012-11-03 00:59:00,1351904340,0.0111817670634,gammaFit
2012-11-03 01:04:00,1351904640,0.00841748415787,gammaFit
2012-11-03 01:09:00,1351904940,0.00633411129178,gammaFit
2012-11-03 01:14:00,1351905240,0.0047646270126,gammaFit
2012-11-03 01:19:00,1351905540,0.00358277622892,gammaFit
2012-11-03 01:24:00,1351905840,0.00269317882401,gammaFit
2012-11-03 01:29:00,1351906140,0.00202382105281,gammaFit
2012-11-03 01:34:00,1351906440,0.00152036081765,gammaFit
2012-11-03 01:39:00,1351906740,0.00114181222181,gammaFit
2012-11-03 01:44:00,1351907040,0.000857277862232,gammaFit
2012-11-03 01:49:00,1351907340,0.000643476265683,gammaFit
2012-11-03 01:54:00,1351907640,0.000482872244427,gammaFit
2012-11-03 01:59:00,1351907940,0.000362264045703,gammaFit
2012-11-03 02:04:00,1351908240,0.000271716323792,gammaFit
2012-11-03 02:09:00,1351908540,0.000203754737407,gammaFit
2012-11-03 02:14:00,1351908840,0.000152758343772,gammaFit
2012-11-03 02:19:00,1351909140,0.000114501440562,gammaFit
2012-11-03 02:24:00,1351909440,8.58082592197e-05,gammaFit
2012-11-03 02:29:00,1351909740,6.42928282079e-05,gammaFit
2012-11-03 02:34:00,1351910040,4.81630815671e-05,gammaFit
2012-11-03 02:39:00,1351910340,3.60734052229e-05,gammaFit
2012-11-03 02:44:00,1351910640,2.70136861332e-05,gammaFit
2012-11-03 02:49:00,1351910940,2.02258580115e-05,gammaFit
2012-11-03 02:54:00,1351911240,1.51411508859e-05,gammaFit
2012-11-03 02:59:00,1351911540,1.13329236765e-05,gammaFit
2012-11-03 03:04:00,1351911840,8.48122114612e-06,gammaFit
2012-11-03 03:09:00,1351912140,6.34614889507e-06,gammaFit
2012-11-03 03:14:00,1351912440,4.74787826861e-06,gammaFit
2012-11-03 03:19:00,1351912740,3.55163438411e-06,gammaFit
2012-11-03 03:24:00,1351913040,2.65642837351e-06,gammaFit
2012-11-03 03:29:00,1351913340,1.98660211656e-06,gammaFit
2012-11-03 03:34:00,1351913640,1.48548499352e-06,gammaFit
